questionnaire,question_id,question_text,answer
partner_traits,conscientiousness,,0.73
personality_after,1,"Is outgoing, sociable",3
personality_after,2,"Is compassionate, has a soft heart",4
personality_after,3,Tends to be disorganized,4
personality_after,4,"Is relaxed, handles stress well",2
personality_after,5,Has few artistic interests,5
personality_after,6,Has an assertive personality,4
personality_after,7,"Is respectful, treats others with respect",5
personality_after,8,Tends to be lazy,4
personality_after,9,Stays optimistic after experiencing a setback,3
personality_after,10,Is curious about many different things,5
personality_after,11,Rarely feels excited or eager,1
personality_after,12,Tends to find fault with others,1
personality_after,13,"Is dependable, steady",1
personality_after,14,"Is moody, has up and down mood swings",3
personality_after,15,"Is inventive, finds clever ways to do things",4
personality_after,16,Tends to be quiet,3
personality_after,17,Feels little sympathy for others,4
personality_after,18,"Is systematic, likes to keep things in order",3
personality_after,19,Can be tense,5
personality_after,20,"Is fascinated by art, music, or literature",5
personality_after,21,"Is dominant, acts as a leader",3
personality_after,22,Starts arguments with others,4
personality_after,23,Has difficulty getting started on tasks,4
personality_after,24,"Feels secure, comfortable with self",5
personality_after,25,"Avoids intellectual, philosophical discussions",1
personality_after,26,Is less active than other people,3
personality_after,27,Has a forgiving nature,3
personality_after,28,Can be somewhat careless,3
personality_after,29,"Is emotionally stable, not easily upset",3
personality_after,30,Has little creativity,1
personality_after,31,"Is sometimes shy, introverted",4
personality_after,32,Is helpful and unselfish with others,4
personality_after,33,Keeps things neat and tidy,3
personality_after,34,Worries a lot,4
personality_after,35,Values art and beauty,5
personality_after,36,Finds it hard to influence people,2
personality_after,37,Is sometimes rude to others,4
personality_after,38,"Is efficient, gets things done",5
personality_after,39,Often feels sad,1
personality_after,40,"Is complex, a deep thinker",3
personality_after,41,Is full of energy,2
personality_after,42,Is suspicious of others’ intentions,5
personality_after,43,"Is reliable, can always be counted on",4
personality_after,44,Keeps their emotions under control,3
personality_after,45,Has difficulty imagining things,1
personality_after,46,Is talkative,3
personality_after,47,Can be cold and uncaring,3
personality_after,48,"Leaves a mess, doesn’t clean up",2
personality_after,49,Rarely feels anxious or afraid,3
personality_after,50,Thinks poetry and plays are boring,1
personality_after,51,Prefers to have others take charge,2
personality_after,52,"Is polite, courteous to others",5
personality_after,53,"Is persistent, works until the task is finished",5
personality_after,54,"Tends to feel depressed, blue",2
personality_after,55,Has little interest in abstract ideas,1
personality_after,56,Shows a lot of enthusiasm,3
personality_after,57,Assumes the best about people,4
personality_after,58,Sometimes behaves irresponsibly,3
personality_after,59,"Is temperamental, gets emotional easily",5
personality_after,60,"Is original, comes up with new ideas",4
strategy,self,,"i tried to find the object first --it is immovable. then i assumed that the configuration of the partner and the shadow is the same as in the trial part -- the partner is a little ahead and tried to find the same pattern. perhabs, it was a bit confusing for the second person. after, i realized that the distance between the shadow and the partner is less than pi R -- so there will not be the case where we could catch each others shadows. after that realization i skipped the part with configuration. at the end of the experiment i confirmed that the object was moving, confirmed that it tended to stay near me and pressed the button"
strategy,other,,"my partner, i thin tried to find me and ensure that i move and react on their movements"
strategy,comment,,it was fun!! maybe providing eye patches/masks will help you to ensure that all subjects keep their eyes closed. im not sure whether its critical
